4,2007,0,-1,3,696,4,2007,3,696,0,-1,0,-1,3,696,0,-1,1,1261,3,696,3,696,1,1261
0,711,0,711,0,711,0,711,0,-1,0,-1,1,699,1,679,1,699,0,711,0,711,1,679,3,7304
4,845,0,705,0,705,4,697,0,705,4,697,4,697,0,-1,4,697,4,845,4,697,0,705,4,845
3,1563,0,-1,0,-1,0,-1,0,-1,1,627,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,3,1563
0,1142,0,1142,1,1254,1,1254,3,794,0,829,0,829,0,1142,3,794,3,794,0,829,3,794,1,1254
3,740,2,832,2,832,2,832,4,815,3,740,3,740,3,740,4,815,3,740,2,832,4,815,4,815
0,770,3,744,3,744,0,770,2,672,4,717,2,672,4,717,0,770,3,744,0,-1,3,744,3,744
4,739,0,728,1,752,4,739,4,739,0,728,0,728,4,739,1,752,1,752,4,739,1,752,0,-1
0,709,1,826,1,826,1,826,3,730,3,730,0,709,1,698,3,730,0,709,1,698,0,709,0,-1
4,761,1,785,4,761,4,761,4,761,4,761,4,761,1,785,4,761,4,761,4,761,4,761,1,785
0,-1,1,712,2,911,0,-1,2,911,2,911,2,911,2,911,2,911,2,911,1,712,0,-1,4,1223
1,683,1,744,1,837,1,878,1,744,1,878,0,844,1,878,1,837,1,683,1,744,1,683,0,844
0,-1,0,-1,2,1790,2,1790,1,938,1,938,1,938,0,-1,4,881,0,-1,4,881,0,-1,2,1790
2,771,2,771,2,771,1,689,0,680,0,680,3,670,1,689,1,689,3,670,0,-1,1,689,1,689
0,-1,0,-1,0,-1,0,-1,2,644,3,882,3,882,3,882,0,-1,0,-1,0,-1,0,-1,3,882
2,754,2,684,2,684,0,820,0,-1,2,684,2,684,2,684,2,684,2,684,0,820,2,684,0,820
4,774,4,774,0,749,4,774,0,749,0,749,0,749,4,774,0,762,0,762,0,762,0,749,0,762
2,710,2,710,2,710,2,710,2,681,2,681,2,681,0,-1,2,710,2,710,2,710,3,955,2,1040
2,767,3,762,0,985,4,783,4,783,4,783,4,783,4,783,3,762,2,767,4,783,2,767,0,985
4,731,4,708,4,731,4,708,0,-1,4,708,4,708,4,686,4,731,4,731,4,731,4,686,2,3243
