1,749,0,778,0,778,1,749,0,802,0,802,0,802,1,749,0,778,0,802,0,802,1,749,0,778
1,732,0,775,1,732,1,732,1,839,1,839,1,732,1,839,1,732,0,775,1,839,1,819,1,839
1,855,1,855,1,855,1,855,1,739,0,-1,0,-1,1,739,1,739,1,855,1,739,1,855,0,-1
1,698,1,698,1,767,1,767,0,723,0,723,1,698,0,723,0,723,1,767,1,698,1,698,1,767
0,852,0,852,0,687,0,665,0,687,0,687,0,687,0,687,0,852,0,665,0,687,0,665,0,-1
0,710,1,719,1,719,1,719,0,710,1,719,1,731,1,731,1,731,0,710,0,710,1,731,0,-1
0,682,0,682,0,682,0,-1,1,694,0,740,0,740,0,740,0,740,1,694,1,694,0,682,0,958
0,824,1,1642,0,824,1,662,1,1642,1,1642,1,1642,1,1642,1,662,0,824,0,824,1,662,0,-1
0,712,0,712,1,755,1,778,1,680,1,680,1,755,1,680,0,712,1,778,0,712,1,755,0,-1
0,1506,0,-1,0,-1,0,-1,0,1041,0,1041,0,1041,0,1041,0,-1,0,1041,0,-1,0,1506,0,1506
1,775,1,796,1,796,1,796,1,775,1,796,1,775,1,775,1,780,1,780,1,775,1,775,1,796
0,686,0,675,0,675,0,675,0,-1,0,-1,0,686,1,831,0,675,0,686,0,675,1,831,1,831
0,3260,0,-1,0,1623,1,862,0,1623,1,862,0,1623,1,862,1,667,1,667,1,667,0,-1,0,3260
0,756,1,680,1,680,1,680,0,756,0,669,0,669,1,680,0,756,1,680,0,756,0,756,0,-1
1,1327,0,804,1,1327,0,804,0,788,0,788,0,788,0,870,0,804,0,788,0,804,0,804,0,788
1,848,1,682,0,-1,1,682,0,764,0,710,1,682,1,682,1,848,0,724,0,724,0,724,1,848
1,2363,0,-1,0,2426,0,2426,0,1075,0,2426,0,2426,0,1075,0,-1,1,2363,0,-1,0,2426,0,2426
0,740,0,821,0,740,0,1044,0,1044,0,821,0,821,0,740,0,816,0,821,0,740,0,816,0,4405
0,702,1,709,1,709,1,709,1,709,0,702,1,709,0,702,1,709,1,709,0,702,0,702,0,-1
0,-1,0,-1,0,26347,0,-1,1,2331,1,2331,0,-1,1,2331,0,-1,0,-1,0,-1,0,-1,1,2331
