0,75
0,80
1,19
2,43
2,76
1,43
1,13
0,3
2,134
0,93
0,56
1,89
2,50
2,131
2,122
1,82
2,75
2,30
0,66
2,26
0,11
0,66
0,43
0,37
2,105
0,71
1,65
2,76
2,41
0,38
0,8
0,51
1,93
1,11
2,1
1,9
0,30
0,28
1,173
1,4
0,28
0,17
2,43
0,58
1,24
2,39
1,70
0,74
0,26
2,126
0,51
1,70
1,30
0,46
2,72
2,7
2,66
0,14
0,80
0,37
1,23
2,62
0,25
1,27
1,99
2,23
2,81
2,11
1,121
1,32
1,42
1,58
0,52
1,44
2,118
2,12
2,16
2,40
1,87
0,32
2,9
1,12
2,69
1,37
1,110
2,61
2,155
2,79
1,34
0,6
1,1
0,2
1,17
0,25
0,68
0,72
2,98
2,102
2,92
1,42
